gsfonts 20180524-2
gsm 1.0.18-1
gspell 1.8.2-1
gssdp 1.2.1-1
gst-libav 1.16.1-1
gst-plugins-bad 1.16.1-4
gst-plugins-base 1.16.1-1
gst-plugins-base-libs 1.16.1-1
gst-plugins-good 1.16.1-1
gst-plugins-ugly 1.16.1-2
gstreamer 1.16.1-1
gstreamer0.10 0.10.36-17
gstreamer0.10-bad 0.10.23-38
gstreamer0.10-bad-plugins 0.10.23-38
gstreamer0.10-base 0.10.36-11
gstreamer0.10-base-plugins 0.10.36-11
gtk-doc 1.32-1
gtk-update-icon-cache 1:3.24.12+32+g39e28ab933-1
gtk-vnc 1.0.0-1
gtk2 2.24.32-1
gtk3 1:3.24.12+32+g39e28ab933-1
gtkmm3 3.24.2-1
gtksourceview4 4.4.0-1
gts 0.7.6-5
guile 2.2.6-1
gupnp 1.2.1-1
gupnp-igd 0.2.5+3+gedd78a6-2
gzip 1.10-2
handbrake 1.2.2-2
hardinfo 0.5.1.816.g877ea2b-1
harfbuzz 2.6.4-1
harfbuzz-icu 2.6.4-1
haskell-aeson 1.4.4.0-13
haskell-aeson-pretty 0.8.8-1
haskell-ansi-terminal 0.9.1-10
haskell-asn1-encoding 0.9.6-1
haskell-asn1-parse 0.9.4-115
haskell-asn1-types 0.3.3-11
haskell-async 2.2.2-1
haskell-attoparsec 0.13.2.3-2
haskell-base-compat 0.10.5-5
haskell-base-orphans 0.8.1-22
haskell-base64-bytestring 1.0.0.2-17
haskell-basement 0.0.11-1
haskell-bitarray 0.0.1.1-12
haskell-blaze-builder 0.4.1.0-8
haskell-blaze-html 0.9.1.2-1
haskell-blaze-markup 0.8.2.2-28
haskell-byteable 0.1.1-14
haskell-case-insensitive 1.2.1.0-1
haskell-cereal 0.5.8.1-1
haskell-cmark-gfm 0.2.0-4
haskell-cmdargs 0.10.20-8
haskell-colour 2.3.5-14
haskell-connection 0.3.1-1
haskell-cookie 0.4.4-8
haskell-cryptonite 0.26-15
haskell-data-default 0.7.1.1-35
haskell-data-default-class 0.1.2.0-13
haskell-data-default-instances-containers 0.0.1-25
haskell-data-default-instances-dlist 0.0.1-48
haskell-data-default-instances-old-locale 0.0.1-25
haskell-digest 0.0.1.2-14
haskell-dlist 0.8.0.7-3
haskell-doctemplates 0.2.2.1-94
haskell-erf 2.0.0.0-13
haskell-exceptions 0.10.3-1
haskell-glob 0.10.0-21
haskell-haddock-library 1.7.0-71
haskell-hashable 1.2.7.0-8
haskell-hourglass 0.2.12-30
haskell-hslua 1.0.3.2-3
haskell-hslua-module-system 0.2.1-11
haskell-hslua-module-text 0.2.1-20
haskell-hsyaml 0.1.2.0-1
haskell-http 4000.3.14-45
haskell-http-client 0.6.4-26
haskell-http-client-tls 0.3.5.3-140
haskell-http-types 0.12.3-27
